Epoch 1 Loss 2.2991024461036584, Validation Accuracy 2/16
Epoch 1 Loss 11.470240301103727, Validation Accuracy 2/16
Epoch 1 Loss 11.352923861219667, Validation Accuracy 4/16
Epoch 1 Loss 11.241038681994233, Validation Accuracy 6/16
Epoch 1 Loss 10.996972750698875, Validation Accuracy 6/16
Epoch 1 Loss 10.26766224585854, Validation Accuracy 5/16
Epoch 1 Loss 9.080036196285816, Validation Accuracy 5/16
Epoch 1 Loss 8.475572057901568, Validation Accuracy 9/16
Epoch 1 Loss 8.17271573978051, Validation Accuracy 7/16
Epoch 1 Loss 6.320542509623305, Validation Accuracy 10/16
Epoch 1 Loss 8.210896867071526, Validation Accuracy 9/16
Epoch 1 Loss 7.537032283267138, Validation Accuracy 11/16
Epoch 1 Loss 5.77371106175402, Validation Accuracy 9/16
Epoch 1 Loss 6.2728184444440345, Validation Accuracy 10/16
Epoch 1 Loss 5.656792895778729, Validation Accuracy 10/16
Epoch 1 Loss 5.545875355187139, Validation Accuracy 8/16
Epoch 1 Loss 6.9528905187285694, Validation Accuracy 10/16
Epoch 1 Loss 5.861966849932566, Validation Accuracy 12/16
Epoch 1 Loss 5.749082865106816, Validation Accuracy 13/16
Epoch 1 Loss 3.826309392884313, Validation Accuracy 12/16
Epoch 1 Loss 4.353321320515411, Validation Accuracy 11/16
Epoch 1 Loss 4.299591100049999, Validation Accuracy 15/16
Epoch 1 Loss 2.2998312249360384, Validation Accuracy 10/16
Epoch 1 Loss 4.596124638939509, Validation Accuracy 14/16
Epoch 1 Loss 3.605453900386715, Validation Accuracy 9/16
Epoch 1 Loss 4.81988242685478, Validation Accuracy 12/16
Epoch 1 Loss 4.203980470733976, Validation Accuracy 13/16
Epoch 1 Loss 3.2555328320665398, Validation Accuracy 13/16
Epoch 1 Loss 3.3302307942964964, Validation Accuracy 13/16
Epoch 1 Loss 2.927332265739486, Validation Accuracy 10/16
Epoch 1 Loss 4.2857205866771215, Validation Accuracy 10/16
Epoch 1 Loss 3.2751448647892145, Validation Accuracy 12/16
Epoch 1 Loss 2.5887253221959052, Validation Accuracy 14/16
Epoch 1 Loss 3.8402535239240834, Validation Accuracy 11/16
Epoch 1 Loss 5.39312816346414, Validation Accuracy 13/16
Epoch 1 Loss 3.765635367479722, Validation Accuracy 8/16
Epoch 1 Loss 2.744634364915493, Validation Accuracy 13/16
Epoch 1 Loss 2.937650152823143, Validation Accuracy 14/16
Epoch 1 Loss 3.4715728060759803, Validation Accuracy 15/16
Epoch 1 Loss 2.8946189007579064, Validation Accuracy 13/16
Epoch 1 Loss 2.6382723383923197, Validation Accuracy 15/16
Epoch 1 Loss 2.940220804819298, Validation Accuracy 13/16
Epoch 1 Loss 2.6787253844003294, Validation Accuracy 14/16
Epoch 1 Loss 2.6439459864592054, Validation Accuracy 14/16
Epoch 1 Loss 3.888540175875253, Validation Accuracy 13/16
Epoch 1 Loss 2.977504427577541, Validation Accuracy 15/16
Epoch 1 Loss 3.7002114944005062, Validation Accuracy 11/16
Epoch 1 Loss 3.8642774845533463, Validation Accuracy 14/16
Epoch 1 Loss 2.384521308671089, Validation Accuracy 12/16
Epoch 1 Loss 2.4889862394031788, Validation Accuracy 15/16
Epoch 1 Loss 2.7200953144785864, Validation Accuracy 14/16
Epoch 1 Loss 1.6746881839590333, Validation Accuracy 15/16
Epoch 1 Loss 2.516636437216482, Validation Accuracy 15/16
Epoch 1 Loss 2.590274921394899, Validation Accuracy 15/16
Epoch 1 Loss 2.355814728704284, Validation Accuracy 15/16
Epoch 1 Loss 1.6673665727751972, Validation Accuracy 14/16
Epoch 1 Loss 2.0540612884005487, Validation Accuracy 14/16
Epoch 1 Loss 2.391429176630084, Validation Accuracy 13/16
Epoch 1 Loss 2.4851391097849613, Validation Accuracy 15/16
Epoch 1 Loss 2.1778392895354575, Validation Accuracy 14/16
Epoch 1 Loss 2.8400032232289814, Validation Accuracy 13/16
Epoch 1 Loss 1.8703221912528192, Validation Accuracy 13/16
Epoch 1 Loss 2.7343979306028903, Validation Accuracy 13/16
Epoch 2 Loss 0.21133590986626022, Validation Accuracy 15/16
Epoch 2 Loss 2.6670237509412176, Validation Accuracy 15/16
Epoch 2 Loss 3.037675478396956, Validation Accuracy 14/16
Epoch 2 Loss 2.1376923714721032, Validation Accuracy 14/16
Epoch 2 Loss 2.3669802923804246, Validation Accuracy 14/16
Epoch 2 Loss 1.779495702159578, Validation Accuracy 13/16
Epoch 2 Loss 2.261315683798474, Validation Accuracy 14/16
Epoch 2 Loss 2.2425533690509303, Validation Accuracy 14/16
Epoch 2 Loss 2.9084465864836275, Validation Accuracy 14/16
Epoch 2 Loss 1.8635454493419004, Validation Accuracy 14/16
Epoch 2 Loss 2.2872598747760566, Validation Accuracy 15/16
Epoch 2 Loss 3.81911801745763, Validation Accuracy 15/16
Epoch 2 Loss 2.740418899769842, Validation Accuracy 13/16
